crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,36.0,False,False,True,False,695.075230527579,648.5223480752356,747.9070598220997,73,ok
maize,36.0,False,False,True,True,850.152883333829,809.7738982964578,903.2241277958059,73,ok
maize,36.0,False,True,False,False,1061.2629550887204,976.1823235413835,1144.4643016488697,73,ok
maize,36.0,False,True,False,True,1243.7026198313001,1166.69602263926,1332.2360647998914,73,ok
maize,36.0,False,True,True,False,1103.8686501584552,1025.156787008508,1177.5935636956838,73,ok
maize,36.0,False,True,True,True,1273.271668914037,1195.4761608017648,1352.0880147253265,73,ok
maize,36.0,True,False,False,False,648.0841107870692,607.2229082305424,702.3531758789213,73,ok
maize,36.0,True,False,False,True,835.1188261411166,786.80083930924,892.3179366660213,73,ok
maize,36.0,True,False,True,False,693.0621070284891,643.2038824547325,746.8456058034459,73,ok
maize,36.0,True,False,True,True,876.1202896260214,823.8842294524858,938.7194621841929,73,ok
maize,36.0,True,True,False,False,1123.157553593786,1028.4371543765412,1209.8886225374788,73,ok
maize,36.0,True,True,False,True,1399.5812518437863,1291.7020142360902,1514.4689267395797,73,ok
maize,36.0,True,True,True,False,1141.5957205156064,1051.9632083398326,1216.5776044025447,73,ok
maize,36.0,True,True,True,True,1398.8355697109953,1301.6669868938218,1513.8592282012526,73,ok
maize,37.0,False,False,False,False,620.3885534456185,586.9378927239069,651.2087834995242,199,ok
maize,37.0,False,False,False,True,756.4536392217889,719.4161021629155,790.929333922833,199,ok
maize,37.0,False,False,True,False,834.6608301014917,797.8072992253256,871.0627020589883,199,ok
maize,37.0,False,False,True,True,985.7176134710517,946.0581312389514,1026.4158809530097,199,ok
maize,37.0,False,True,False,False,994.0200409170193,947.4451422237731,1046.5376214388143,199,ok
maize,37.0,False,True,False,True,1135.5061591382796,1083.7592899608694,1201.9965724864414,199,ok
maize,37.0,False,True,True,False,1300.367457518312,1241.886312050051,1354.1425027206558,199,ok
maize,37.0,False,True,True,True,1440.3408922061228,1380.10202511487,1504.4570986223384,199,ok
maize,37.0,True,False,False,False,667.1440897653309,630.1460047396264,703.6943269291334,199,ok
maize,37.0,True,False,False,True,865.0408820430057,816.8392637363846,912.7163585033437,199,ok
maize,37.0,True,False,True,False,884.1501348570914,843.0611724228792,928.2930521886109,199,ok
maize,37.0,True,False,True,True,1110.1901377668287,1057.965177606442,1167.820561141263,199,ok
maize,37.0,True,True,False,False,1112.9933652680634,1058.286132875524,1178.954603175175,199,ok
maize,37.0,True,True,False,True,1392.3819270208537,1318.955725497591,1483.5620228706775,199,ok
maize,37.0,True,True,True,False,1416.510673257015,1351.3397259540463,1489.0099322093065,199,ok
maize,37.0,True,True,True,True,1717.182290604915,1640.2630424558772,1815.4314171599983,199,ok
maize,41.0,False,False,False,False,599.9994618093324,576.7470114730169,620.9365781113615,186,ok
maize,41.0,False,False,False,True,819.1798185608841,785.6212108468669,844.7205499417082,186,ok
maize,41.0,False,False,True,False,760.4660599787201,736.3297041096843,782.4603517132671,186,ok
maize,41.0,False,False,True,True,984.0946439454909,952.9844120376827,1016.0753462328041,186,ok
maize,41.0,False,True,False,False,832.4556229242157,804.9527761332358,864.2609732344175,186,ok
