district_code,zone_id,crop,season,year,actual_yield_kg_ha,actual_yield_kg_ha_ci_low,actual_yield_kg_ha_ci_high,attainable_yield_kg_ha,yield_gap_kg_ha,yield_gap_pct,n_plots,n_segments,reliability
35.0,3,beans,A,2020,520.4495994183198,438.57434490100263,602.3248539356371,1341.4522751219129,821.002675703593,61.202525869135314,32,16,ok
35.0,3,beans,A,2021,619.1342729651026,508.68295432791444,729.5855916022907,1341.4522751219129,722.3180021568103,53.845970934088214,57,23,ok
35.0,3,beans,A,2022,816.7576201174022,673.88525123149,959.6299890033144,1341.4522751219129,524.6946550045107,39.113926356927294,56,21,ok
35.0,3,beans,A,2023,702.8239283197457,592.4519107767022,813.1959458627892,1341.4522751219129,638.6283468021671,47.60723572846658,59,17,ok
35.0,3,beans,A,2024,750.8095886080445,697.3931390546011,804.2260381614878,1341.4522751219129,590.6426865138684,44.03009316601965,54,27,ok
35.0,3,beans,A,2025,752.002274491179,658.8292707504008,845.1752782319572,1341.4522751219129,589.4500006307338,43.94118311642238,98,32,ok
35.0,3,beans,B,2020,386.0581703015392,282.7624611115866,489.35387949149174,1461.7469542094314,1075.6887839078922,73.58926117890671,12,7,suppressed
35.0,3,beans,B,2021,449.1028781371135,328.0025868786015,570.2031693956255,1461.7469542094314,1012.6440760723178,69.27629116354099,49,16,ok
35.0,3,beans,B,2022,548.3912707002257,395.285865767725,701.4966756327265,1461.7469542094314,913.3556835092056,62.483843792456085,26,16,ok
35.0,3,beans,B,2023,637.9829985161788,355.9438725545255,920.022124477832,1461.7469542094314,823.7639556932526,56.3547577999761,19,10,use_with_caution
35.0,3,beans,B,2024,736.8435718128505,623.3164286495851,850.370714976116,1461.7469542094314,724.9033823965808,49.59157809831978,23,16,ok
35.0,3,beans,B,2025,720.1061634330072,641.202123174775,799.0102036912393,1461.7469542094314,741.6407907764242,50.73660585648574,68,27,ok
36.0,1,beans,A,2020,368.5905832469865,168.48609594431906,568.695070549654,959.6632725874421,591.0726893404556,61.59167556207571,11,10,use_with_caution
36.0,1,beans,A,2021,438.2825983448797,247.67206337605208,628.8931333137074,959.6632725874421,521.3806742425623,54.32954340711789,8,8,suppressed
36.0,1,beans,A,2022,540.3383033908365,180.1065078864175,900.5700988952555,959.6632725874421,419.3249691966056,43.695010653687156,3,3,suppressed
