nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
36,Rusizi,0.6408030351781138,0.8097915274384742,302.630211711963,2021,B,2
32,Rutsiro,0.5918839501588952,0.7579989836108745,230.78434742235555,2021,B,2
57,Bugesera,0.5698935355956422,0.702312167295801,390.9455658060624,2021,B,3
53,Gatsibo,0.6192307575840867,0.7470758789660699,451.2537866655415,2021,B,3
54,Kayonza,0.5752788185123919,0.7049318857061101,452.2942189307989,2021,B,3
55,Kirehe,0.6177212536188155,0.7387594080192257,457.82908581361073,2021,B,3
56,Ngoma,0.6087440341469976,0.7341820273752785,451.90351003233343,2021,B,3
52,Nyagatare,0.6271094863884719,0.7586157200929251,376.08591591500215,2021,B,3
51,Rwamagana,0.6150139903890538,0.7457274937082423,451.9187313516654,2021,B,3
12,Gasabo,0.5670145101864917,0.6910689523136287,459.5515237050716,2021,B,3
13,Kicukiro,0.5180335394263923,0.6387082572916803,450.6828818017139,2021,B,3
11,Nyarugenge,0.5505695671393807,0.6771721788952847,445.8332284884552,2021,B,3
44,Burera,0.4830762407680867,0.6933672212133044,374.86286762214417,2021,B,3
42,Gakenke,0.5422577725453384,0.7436755483693067,420.7473248607138,2021,B,3
45,Gicumbi,0.579508817876493,0.7579316777247556,461.9046237907482,2021,B,3
43,Musanze,0.4660755996787065,0.7012444994348578,393.5348879800012,2021,B,3
41,Rulindo,0.5633170300258957,0.7393081335443854,481.7316471044314,2021,B,3
22,Gisagara,0.6159688099226867,0.7356936369644452,511.5639552718485,2021,B,3
24,Huye,0.5586843110071905,0.7214076195523021,543.1790554331427,2021,B,3
28,Kamonyi,0.5735225264920247,0.7070828600509264,424.2750806630968,2021,B,3
27,Muhanga,0.5297759004580946,0.7163661997058073,422.5000075284721,2021,B,3
25,Nyamagabe,0.5121217540423709,0.7447331209608435,468.4827332050962,2021,B,3
21,Nyanza,0.5919950041965437,0.7303264655990089,488.9010614826888,2021,B,3
23,Nyaruguru,0.5400443414649004,0.7724703894926187,504.2027471915287,2021,B,3
26,Ruhango,0.5584007234447115,0.702382892207241,424.2844255276791,2021,B,3
31,Karongi,0.6169188244096415,0.7554251516006802,358.13815218756065,2021,B,3
35,Ngororero,0.5214426676452825,0.7234898479989559,377.0174651102614,2021,B,3
34,Nyabihu,0.5071799810803859,0.7590657073946985,376.9486293413894,2021,B,3
37,Nyamasheke,0.6191127024756071,0.8058860740900682,408.0373499421152,2021,B,3
33,Rubavu,0.558550061762411,0.7605813882586604,320.7095871575346,2021,B,3
36,Rusizi,0.6422342509471206,0.8276045256544948,431.7410838260559,2021,B,3
32,Rutsiro,0.5841445487236666,0.7770506989145728,338.42260038946364,2021,B,3
57,Bugesera,0.556824874068122,0.7035124244251737,392.9892936522946,2021,B,4
53,Gatsibo,0.6062099372870895,0.7479601598100603,456.0561286653133,2021,B,4
54,Kayonza,0.5622082230565687,0.7061092440431571,456.36299633875575,2021,B,4
55,Kirehe,0.6060815313252088,0.739935247946117,459.4072156914397,2021,B,4
56,Ngoma,0.5989261015985463,0.7349730417633522,454.2154476276002,2021,B,4
52,Nyagatare,0.6008890400320678,0.7592399022584977,382.2481436018169,2021,B,4
51,Rwamagana,0.6085399662372638,0.7463359941553067,452.69097627889016,2021,B,4
12,Gasabo,0.5665139785862083,0.693232399909453,460.66585649413497,2021,B,4
13,Kicukiro,0.5105590404635458,0.6401293375840776,450.6828818017139,2021,B,4
11,Nyarugenge,0.5533208182353273,0.679934320451743,446.3222868026335,2021,B,4
44,Burera,0.5076059618842235,0.7203136793450927,385.0835265378355,2021,B,4
42,Gakenke,0.5641964383859548,0.7530494741640579,428.9103642773719,2021,B,4
45,Gicumbi,0.6016040269015684,0.7705909367250002,466.82765073851294,2021,B,4
43,Musanze,0.5092904354099315,0.7580203041140767,412.24460949568646,2021,B,4
41,Rulindo,0.5841600579167344,0.7525347169924634,488.2414096850976,2021,B,4
22,Gisagara,0.6003205075725978,0.7358242892380508,516.5687619718159,2021,B,4
24,Huye,0.5631393249134187,0.7222276564039559,547.8352493003913,2021,B,4
28,Kamonyi,0.5739787793016483,0.7092399463060511,427.0751729464903,2021,B,4
27,Muhanga,0.55017910148161,0.7238620733528728,426.4736064148592,2021,B,4
25,Nyamagabe,0.5475354200708459,0.7505458115483447,480.3168833256693,2021,B,4
21,Nyanza,0.5852547444312188,0.7316068545233165,494.1163785019105,2021,B,4
23,Nyaruguru,0.5722317611641791,0.7758312561996954,512.4699762600857,2021,B,4
26,Ruhango,0.5565889342465514,0.7030752125753393,428.8633525363273,2021,B,4
31,Karongi,0.6245477391128776,0.7599693450172651,375.2457703336483,2021,B,4
35,Ngororero,0.5459297185765107,0.7345230049750312,387.7810788352431,2021,B,4
34,Nyabihu,0.5389889417794796,0.7758235771409454,394.79675779143656,2021,B,4
37,Nyamasheke,0.6366396903933486,0.8129078124266788,438.1002428473397,2021,B,4
33,Rubavu,0.5778726935680185,0.7828642621588712,348.9533681371672,2021,B,4
36,Rusizi,0.6643979727500843,0.8316811756467459,460.26509627236544,2021,B,4
32,Rutsiro,0.6063733074207546,0.7922048678819116,361.1224146795987,2021,B,4
57,Bugesera,0.5783930307908294,0.6780784514556031,263.7140493156527,2022,B,2
53,Gatsibo,0.6464438440273735,0.7393797976347493,304.4293202470554,2022,B,2
54,Kayonza,0.6023253440059618,0.7060772156718412,335.0982769400521,2022,B,2
55,Kirehe,0.6139958468918335,0.747559678345705,318.3855271949514,2022,B,2
56,Ngoma,0.6221428909609019,0.728960546379216,308.9113128662243,2022,B,2
52,Nyagatare,0.6533314896088546,0.7456961160355032,232.29677012581328,2022,B,2
51,Rwamagana,0.6243432870271213,0.7354124199068195,298.8306850854575,2022,B,2
12,Gasabo,0.5618121662773697,0.6858852261941157,285.68892634072824,2022,B,2
13,Kicukiro,0.541443678378103,0.630952194872843,280.1871454039978,2022,B,2
11,Nyarugenge,0.5559988803869996,0.669262740633105,284.79736335384047,2022,B,2
44,Burera,0.5039470454918329,0.6376005168300724,258.48075133183625,2022,B,2
42,Gakenke,0.5517895887852299,0.7125859077348905,258.0531563693782,2022,B,2
45,Gicumbi,0.6178291414211162,0.7261864255826822,273.7817081979703,2022,B,2
43,Musanze,0.4554736665747871,0.6526457701705358,270.2979316533486,2022,B,2
